,date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,name,uf
11320030,1961-01-15 12:00:00,82825,2.8,23.8,23.2,,20.6,95.0,999.1,,36.0,2.0,,10.0,,,,Porto Velho,RO
11320031,1961-01-15 18:00:00,82825,,29.4,26.2,,,77.0,997.4,,32.0,1.0,,9.0,,,,Porto Velho,RO
11320032,1961-01-16 00:00:00,82825,,26.4,24.1,33.4,,82.0,996.8,,32.0,1.0,3.7,3.0,1.8,85.5,0.666667,Porto Velho,RO
11320033,1961-01-16 12:00:00,82825,0.0,24.8,24.2,,21.8,96.0,998.7,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320034,1961-01-16 18:00:00,82825,,33.1,27.4,,,62.0,996.4,,36.0,2.0,,9.0,,,,Porto Velho,RO
11320035,1961-01-17 00:00:00,82825,,25.0,24.0,33.4,,92.0,996.4,,0.0,0.0,5.4,10.0,1.8,83.75,1.0,Porto Velho,RO
11320036,1961-01-17 12:00:00,82825,0.0,24.5,23.6,,22.1,93.0,1000.2,,36.0,1.0,,9.0,,,,Porto Velho,RO
11320037,1961-01-17 18:00:00,82825,,33.0,27.2,,,62.0,998.3,,32.0,1.0,,9.0,,,,Porto Velho,RO
11320038,1961-01-18 00:00:00,82825,,25.6,24.4,28.8,,90.0,997.4,,5.0,1.0,0.7,10.0,1.7,93.25,0.666667,Porto Velho,RO
11320039,1961-01-18 12:00:00,82825,4.5,24.6,24.2,,21.8,97.0,1001.8,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320040,1961-01-18 18:00:00,82825,,25.3,24.2,,,92.0,1000.0,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320041,1961-01-19 00:00:00,82825,,25.0,24.0,29.0,,92.0,1000.0,,0.0,0.0,0.7,10.0,1.1,89.25,1.666667,Porto Velho,RO
11320042,1961-01-19 12:00:00,82825,1.9,23.2,22.8,,21.0,96.0,1002.7,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320043,1961-01-19 18:00:00,82825,,27.6,24.8,,,79.0,1000.0,,5.0,3.0,,10.0,,,,Porto Velho,RO
11320044,1961-01-20 00:00:00,82825,,24.3,23.2,30.8,,91.0,999.9,,14.0,1.0,3.5,10.0,1.2,85.75,1.666667,Porto Velho,RO
11320045,1961-01-20 12:00:00,82825,0.1,24.1,23.4,,20.6,94.0,1001.4,,23.0,1.0,,9.0,,,,Porto Velho,RO
11320046,1961-01-20 18:00:00,82825,,29.7,25.6,,,71.0,999.4,,36.0,3.0,,9.0,,,,Porto Velho,RO
11320047,1961-01-21 00:00:00,82825,,26.0,24.6,33.4,,89.0,998.8,,5.0,1.0,4.3,3.0,1.8,89.5,0.666667,Porto Velho,RO
11320048,1961-01-21 12:00:00,82825,0.0,26.3,25.0,,21.3,90.0,1001.9,,0.0,0.0,,9.0,,,,Porto Velho,RO
11320049,1961-01-21 18:00:00,82825,,27.4,25.6,,,86.0,998.6,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320050,1961-01-22 00:00:00,82825,,26.2,25.1,31.7,,91.0,999.6,,36.0,1.0,4.1,7.0,1.5,87.5,1.333333,Porto Velho,RO
11320051,1961-01-22 12:00:00,82825,5.9,24.8,24.0,,21.4,94.0,1002.6,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320052,1961-01-22 18:00:00,82825,,29.0,26.4,,,80.0,999.4,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320053,1961-01-23 00:00:00,82825,,26.3,24.8,28.0,,88.0,1000.7,,5.0,2.0,0.0,10.0,1.9,92.75,2.0,Porto Velho,RO
11320054,1961-01-23 12:00:00,82825,19.6,23.4,23.1,,20.8,97.0,1002.8,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320055,1961-01-23 18:00:00,82825,,27.0,25.0,,,84.0,1000.3,,5.0,3.0,,10.0,,,,Porto Velho,RO
11320056,1961-01-24 00:00:00,82825,,23.6,23.0,29.8,,95.0,999.9,,5.0,2.0,0.7,9.0,0.1,89.75,2.333333,Porto Velho,RO
11320057,1961-01-24 12:00:00,82825,1.8,24.0,23.2,,20.9,93.0,1001.9,,27.0,1.0,,10.0,,,,Porto Velho,RO
11320058,1961-01-24 18:00:00,82825,,29.0,25.8,,,76.0,998.6,,23.0,3.0,,9.0,,,,Porto Velho,RO
11320059,1961-01-25 00:00:00,82825,,24.6,24.0,32.4,,95.0,998.6,,36.0,3.0,5.0,10.0,1.0,84.25,1.333333,Porto Velho,RO
11320060,1961-01-25 12:00:00,82825,1.3,24.7,23.6,,21.1,91.0,1001.1,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320061,1961-01-25 18:00:00,82825,,27.6,25.3,,,82.0,998.7,,32.0,2.0,,10.0,,,,Porto Velho,RO
11320062,1961-01-26 00:00:00,82825,,27.6,25.2,28.2,,82.0,999.5,,23.0,1.0,1.6,8.0,1.7,91.0,1.333333,Porto Velho,RO
11320063,1961-01-26 12:00:00,82825,0.5,24.1,23.3,,21.6,93.0,1000.2,,23.0,1.0,,10.0,,,,Porto Velho,RO
11320064,1961-01-26 18:00:00,82825,,25.3,24.1,,,91.0,999.4,,18.0,1.0,,10.0,,,,Porto Velho,RO
11320065,1961-01-27 00:00:00,82825,,25.6,24.4,30.2,,90.0,1000.3,,18.0,2.0,0.7,10.0,1.1,90.75,1.333333,Porto Velho,RO
11320066,1961-01-27 12:00:00,82825,5.9,23.3,22.8,,20.6,95.0,1001.4,,27.0,1.0,,10.0,,,,Porto Velho,RO
11320067,1961-01-27 18:00:00,82825,,28.5,25.4,,,76.0,998.7,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320068,1961-01-28 00:00:00,82825,,24.6,24.1,30.2,,96.0,999.5,,36.0,2.0,0.2,10.0,0.7,87.5,1.333333,Porto Velho,RO
11320069,1961-01-28 12:00:00,82825,13.4,23.4,22.9,,20.5,95.0,1001.4,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320070,1961-01-28 18:00:00,82825,,28.7,25.0,,,73.0,999.1,,23.0,2.0,,10.0,,,,Porto Velho,RO
11320071,1961-01-29 00:00:00,82825,,25.8,24.6,29.0,,91.0,998.4,,36.0,1.0,0.4,10.0,1.4,89.25,1.333333,Porto Velho,RO
11320072,1961-01-29 12:00:00,82825,0.1,24.8,23.8,,21.8,92.0,1001.4,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320073,1961-01-29 18:00:00,82825,,27.3,24.9,,,81.0,1000.0,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320074,1961-01-30 00:00:00,82825,,24.6,23.6,30.8,,92.0,999.4,,5.0,2.0,3.7,10.0,1.1,87.5,1.666667,Porto Velho,RO
11320075,1961-01-30 12:00:00,82825,4.5,25.1,23.8,,21.2,89.0,1001.5,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320076,1961-01-30 18:00:00,82825,,28.4,25.0,,,75.0,998.8,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320077,1961-01-31 00:00:00,82825,,23.3,22.5,33.0,,93.0,999.9,,5.0,3.0,5.7,10.0,1.2,84.0,1.666667,Porto Velho,RO
11320078,1961-01-31 12:00:00,82825,14.8,24.0,22.8,,20.0,89.0,1001.4,,32.0,2.0,,9.0,,,,Porto Velho,RO
11320079,1961-01-31 18:00:00,82825,,29.7,26.2,,,75.0,998.0,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320080,1961-02-01 00:00:00,82825,,27.2,25.4,27.2,,86.0,996.8,,5.0,2.0,0.0,10.0,1.7,94.5,2.666667,Porto Velho,RO
11320081,1961-02-01 12:00:00,82825,80.0,23.4,23.1,,21.0,97.0,1001.2,,5.0,3.0,,10.0,,,,Porto Velho,RO
11320082,1961-02-01 18:00:00,82825,,23.4,22.6,,,93.0,1000.3,,32.0,4.0,,10.0,,,,Porto Velho,RO
11320083,1961-02-02 00:00:00,82825,,23.0,22.3,32.1,,94.0,997.1,,5.0,1.0,2.5,10.0,0.4,87.0,1.0,Porto Velho,RO
11320084,1961-02-02 12:00:00,82825,4.0,23.2,22.7,,20.2,96.0,1001.8,,14.0,1.0,,10.0,,,,Porto Velho,RO
